OWNING_COLLECTION,OWNING_COLLECTION_DES
,
35,1.01 Articolo in rivista
36,1.02 Nota a sentenza
37,1.03 Recensione in rivista
38,1.04 Replica / breve intervento (e simili)
39,1.05 Scheda bibliografica
40,1.06 Abstract in rivista
41,2.01 Capitolo / saggio in libro
42,2.02 Prefazione
43,2.03 Postfazione
44,2.04 Breve introduzione
45,2.05 Voce in dizionario o enciclopedia
46,2.06 Commento giuridico
47,2.07 Scheda di catalogo
48,2.08 Recensione in volume
49,3.01 Monografia / trattato scientifico in forma di libro
50,3.02 Curatela
51,3.03 Edizione critica
52,3.04 Pubblicazione di fonti inedite
53,3.05 Concordanze
54,3.06 Indice
55,3.07 Bibliografia
56,3.08 Edizione annotata/scolastica
57,4.01 Contributo in Atti di convegno
58,4.02 Riassunto (Abstract)
59,4.03 Poster
60,5.01 Libro (Traduzione)
61,5.02 Contributo in volume (Traduzione)
62,5.03 Contributo in rivista (Traduzione)
63,"5.04 Traduzione di prodotti multimediali, teatrali, televisivi [...]"
64,6.01 Brevetto
65,7.01 Carta tematica e geografica
66,7.02 Carta geologica
67,7.03 Prodotto dell’ingegneria civile e dell’architettura
68,7.04 Software
69,7.05 Banche dati
70,7.06 Prodotto artistico e spettacolare: Composizione musicale
71,7.07 Prodotto artistico e spettacolare: Disegno
72,7.08 Prodotto artistico e spettacolare: Design
73,7.09 Prodotto artistico e spettacolare: Performance
74,7.10 Prodotto artistico e spettacolare: Manufatto
75,7.11 Prodotto artistico e spettacolare: Prototipo d'arte e relativi progetti
76,7.12 Attività espositiva:Mostra o Esposizione
77,7.13 Rapporto tecnico
78,8.01 Ruolo editoriale in rivista
79,8.02 Ruolo editoriale in collana
80,8.03 Direzione di scavi archeologici
81,8.04 Coordinamento di progetti di ricerca
101,7.14 Audiovisivi
102,7.15 Test psicologici
