Italiano;Inglese
1.01 Articolo in rivista;1.01 Journal article
1.02 Nota a sentenza;1.02 Case note
1.03 Recensione in rivista;1.03 Review in journal
1.04 Replica / breve intervento (e simili);1.04 Reply / brief note (and similar
1.05 Scheda bibliografica;1.05 Bibliographic record
1.06 Abstract in rivista;1.06 Abstract in journal
2.01 Capitolo / Saggio in libro;2.01 Chapter / Essay in book
2.02 Prefazione;2.02 Preface
2.03 Postfazione;2.03 Afterword
2.04 Breve introduzione;2.04 Brief introduction
2.05 Voce in dizionario o enciclopedia;2.05 Entry in dictionary or encyclopedia
2.06 Commento giuridico;2.06 Legal commentary
2.07 Scheda di catalogo;2.07 Catalogue entry
2.08 Recensione in volume;2.08 Review in edited volum
3.01 Monografia / trattato scientifico in forma di libro;3.01 Monograph / Scientific treatise in book form
3.02 Curatela;3.02 Edited volume
3.03 Edizione critica;3.03 Critical edition
3.04 Pubblicazione di fonti inedite;3.04 Publication of unpublished sources
3.05 Concordanze;3.05 Concordances
3.06 Indice;3.06 Index
3.07 Bibliografia;3.07 Bibliography
3.08 Edizione annotata/scolastica;3.08 Annotated/educational edition
4.01 Contributo in Atti di convegno;4.01 Contribution in conference proceedings
4.02 Riassunto (Abstract);4.02 Summary (Abstract)
4.03 Poster;4.03 Poster
5.01 Libro (Traduzione);5.01 Book (Translation)
5.02 Contributo in volume (Traduzione);5.02 Contribution in volume (Translation)
5.03 Contributo in rivista (Traduzione);5.03 Contribution in journal (Translation)
5.04 Traduzione di prodotti multimediali, teatrali, televisivi [...];5.04 Translation of multimedia or theatrical product
7.01 Carta tematica e geografica;7.01 Thematic and geographic map
7.02 Carta geologica;7.02 Geological map
7.03 Prodotto dell'ingegneria civile e dell'architettura;7.03 Civil engineering and architecture product
7.04 Software;7.04 Software
7.05 Banche dati;7.05 Databases
7.10 Prodotto artistico e spettacolare: Manufatto;7.10 Artistic and performance product: Artifact
7.11 Prodotto artistico e spettacolare: Prototipo d'arte e relativi progetti;7.11 Artistic and performance product: Art prototype and related projects
7.13 Rapporto tecnico;7.13 Technical report
7.14 Audiovisivi;7.14 Audiovisual products
7.15 Test psicologici;7.15 Psychological tests
8.03 Direzione di scavi archeologici;8.03 Direction of archaeological excavations
